Image,Title,Price,Ratings,Review,Monthly Sales
https://m.media-amazon.com/images/I/51vxhpeulSL._AC_UL320_.jpg,"Paragon PUK3502GS Sports Shoes for Men | Stylish Design, Comfortable Cushioned Insole, Lace up and Sturdy Grip for Better Fitting, Breathable Upper Material | Ideal for Everyday Use",949,4.0 out of 5 stars,95,
https://m.media-amazon.com/images/I/615569U-hzL._AC_UL320_.jpg,CLAWWED Weight Lifting Strap and Wrist Support - Gym Accessories for Men and Women - Powerlifting and Strength Training Straps (White),289,3.0 out of 5 stars,2,
https://m.media-amazon.com/images/I/41DvwgRCxaL._AC_UL320_.jpg,"MOROVIK Pull Reducer Training Bands-4 Tubes Body Pedal Exerciser Yoga Crossfit Exercise, Arm Exercise, Tummy Body Building Training Men and Womeno (Multi)",379,4.8 out of 5 stars,69,500+ bought in past month
https://m.media-amazon.com/images/I/61mQAPUdgmL._AC_UL320_.jpg,"Optimum Nutrition (ON) Micronized Creatine Powder - 100 Gram, 33 Serves, 3g of 100% Creatine Monohydrate per serve, Supports Athletic Performance & Power, Unflavored.",476,4.3 out of 5 stars,"1,939",3K+ bought in past month
https://m.media-amazon.com/images/I/61KJmV9Wz8L._AC_UL320_.jpg,"Threptin Protein Diskettes| Healthy Snacks for Men and Women - 275g, High Protein Diskette enriched with Casein Protein, Essential Vitamins, Minerals and Antioxidant -Vanilla Flavor|100% Veg",485,4.4 out of 5 stars,"6,862",2K+ bought in past month
https://m.media-amazon.com/images/I/61lHSsLXLHL._AC_UL320_.jpg,Boldfit Yoga Mats For Women and Men Exercise For Home Workout Gym Anti Slip EVA Material Yoga Mat 4Mm For Kids Gym Mats - Green,349,4.0 out of 5 stars,"18,844",3K+ bought in past month
https://m.media-amazon.com/images/I/7105cSr6pnL._AC_UL320_.jpg,"OXIOV 500ML Plastic Retractable Handheld Water Spray Bidet, Easy-to-use Portable Bidet with Angled Nozzle Spray, Travel Bag (Multicolor)",178,4.2 out of 5 stars,390,1K+ bought in past month
https://m.media-amazon.com/images/I/61AkAm4EAML._AC_UL320_.jpg,Techista 2-in-1 Rechargeable - Cycle Light (3 Modes) Cycle Light and Horn/Cycle Lights Rechargeable Waterproof (140 dB) Cycle Light with Horn Cycle LED Front Light | Cycle Bell,239,4.1 out of 5 stars,"9,665",2K+ bought in past month
https://m.media-amazon.com/images/I/51smnBFDh1L._AC_UL320_.jpg,"Boldfit Arm Sleeves for Men & Women UV & Sun Protection Hand Cover Sleeves for Boys & Girls for Running, Bike Riding & Outdoor Use â€“ 1 Pair Large",149,3.8 out of 5 stars,"1,989",2K+ bought in past month
https://m.media-amazon.com/images/I/81ry+Z3KACL._AC_UL320_.jpg,"Amazon Brand - Solimo Stainless Steel Steamer with Glass Lid | Induction Base | Modak, Momo Maker | 17 x 22 x 22.4 Cm | 2L | Silver",769,4.3 out of 5 stars,"13,122",3K+ bought in past month
https://m.media-amazon.com/images/I/41DvwgRCxaL._AC_UL320_.jpg,"Proxism Pull Reducer Training Bands-4Tubes Body Pedal Exerciser Yoga Crossfit Exercise, Arm Exercise, Tummy Body Building Training Men and Womens-p (Multi)",449,4.8 out of 5 stars,175,2K+ bought in past month
https://m.media-amazon.com/images/I/61+J--H8kHL._AC_UL320_.jpg,Lifelong Dual Color TPE Material Yoga Mat for Women & Men|6mm Anti-Slip Yoga Mat for Gym Workout Exercise Mat for Home Gym|Yoga Mat for Gym Workout & Yoga Exercise,639,4.1 out of 5 stars,"1,109",3K+ bought in past month
https://m.media-amazon.com/images/I/51oOuDkGSuL._AC_UL320_.jpg,FitBox Sports 4kg Exlusive Octa PVC Fixed Dumbbells (2kg x 2) Black,199,3.8 out of 5 stars,"4,489",2K+ bought in past month
https://m.media-amazon.com/images/I/51NKPZx0a6L._AC_UL320_.jpg,"Boldfit Plastic Gym Typhoon Shaker Bottle, Leakproof Guarantee Sipper Bottle Ideal for Protein, Preworkout and Bcaas, BPA-Free Material (Typhoon Black, 700 ML)",229,4.1 out of 5 stars,"12,663",2K+ bought in past month
https://m.media-amazon.com/images/I/91tWizOWWVL._AC_UL320_.jpg,"Boldfit Gym Gloves for Men & Women with Wrist Support Accessories for Weightlifting, Training, Exercise, Cycling Gloves, Bike Riding Gloves- Warrior -L, Polycotton Blend, Black, Large (8"" - 8.5"")",359,4.0 out of 5 stars,"5,568",2K+ bought in past month
https://m.media-amazon.com/images/I/61uPEZtQoNL._AC_UL320_.jpg,ReDesign Apparels Men's Nylon Compression Pants,995,4.1 out of 5 stars,"1,192",